time,frequency,confidence
39.900,490.441,0.507872
39.950,490.751,0.735813
40.000,491.579,0.934292
40.050,492.472,0.578065
40.100,489.619,0.685092
40.150,492.782,0.628844
40.200,490.143,0.770045
40.250,483.759,0.580682
40.300,457.248,0.629273
40.350,410.033,0.832394
40.400,392.751,0.638361
40.450,391.525,0.561135
40.500,393.950,0.420982
40.550,390.582,0.653078
40.600,392.509,0.625748
40.650,390.152,0.656246
40.700,393.764,0.797714
40.750,396.164,0.514582
40.800,437.952,0.451949
40.850,490.363,0.792412
40.900,489.920,0.518660
40.950,488.699,0.795643
41.000,481.755,0.587631
41.050,437.260,0.458213
41.100,477.033,0.384030
41.150,480.337,0.686182
41.200,433.232,0.700930
41.250,439.472,0.866935
41.300,434.044,0.605508
41.350,436.742,0.919588
41.400,433.006,0.430575
41.450,439.485,0.854634
41.500,438.686,0.686445
41.550,438.977,0.684702
41.600,439.073,0.884950
41.650,437.428,0.785279
41.700,490.430,0.893644
41.750,504.893,0.369041
41.800,486.357,0.411786
41.850,493.353,0.209544
41.900,522.481,0.232528
41.950,582.898,0.874565
42.000,580.470,0.185144
42.050,585.934,0.804823
42.100,585.046,0.630504
42.150,581.217,0.390979
42.200,585.836,0.502758
42.250,584.707,0.533361
42.300,585.735,0.573901
42.350,591.169,0.484964
42.400,586.793,0.848757
42.450,538.656,0.494359
42.500,487.291,0.650652
42.550,491.291,0.627435
42.600,490.602,0.570141
42.650,500.279,0.296204
42.700,493.147,0.607404
42.750,508.609,0.480955
42.800,501.496,0.227516
42.850,499.870,0.733813
42.900,471.300,0.686995
42.950,430.498,0.452022
43.000,399.367,0.277992
43.050,389.544,0.305744
43.100,409.818,0.295675
43.150,434.835,0.552277
43.200,432.082,0.412592
43.250,432.643,0.236564
43.300,435.257,0.179938
43.350,436.731,0.217965
43.400,449.834,0.280078
43.450,495.525,0.608989
43.500,523.860,0.672072
43.550,522.631,0.162495
43.600,493.150,0.800649
43.650,438.276,0.456329
43.700,392.868,0.496830
43.750,392.736,0.406474
43.800,390.928,0.366260
43.850,392.865,0.417646
43.900,391.776,0.517543
43.950,387.658,0.370223
44.000,390.336,0.475809
44.050,413.628,0.469211
44.100,445.338,0.397878
44.150,497.399,0.229992
44.200,549.398,0.674539
44.250,586.112,0.248910
44.300,586.421,0.562041
44.350,581.249,0.556313
44.400,576.636,0.291266
44.450,577.882,0.320778
44.500,583.693,0.243824
44.550,585.641,0.694146
44.600,584.934,0.754741
44.650,585.593,0.574252
44.700,569.307,0.679244
44.750,517.711,0.762934
44.800,495.911,0.754470
44.850,473.406,0.663610
44.900,428.397,0.533373
44.950,395.954,0.578200
45.000,392.766,0.462364
45.050,395.419,0.373020
45.100,349.067,0.221330
45.150,320.157,0.368666
45.200,322.240,0.239036
45.250,327.618,0.313939
45.300,334.758,0.196017
45.350,369.684,0.148244
45.400,386.117,0.268312
45.450,386.517,0.446776
45.500,362.524,0.878647
45.550,322.057,0.338249
45.600,295.046,0.924420
45.650,294.248,0.941998
45.700,293.932,0.947809
45.750,294.378,0.227937
45.800,292.702,0.766371
45.850,295.536,0.772666
45.900,293.256,0.880330
45.950,294.420,0.906587
46.000,292.642,0.611438
46.050,292.165,0.600563
46.100,290.797,0.854529
46.150,293.123,0.932742
46.200,292.401,0.926996
46.250,291.737,0.921001
46.300,288.554,0.709803
46.350,289.848,0.922812
46.400,293.854,0.409911
46.450,292.357,0.804855
46.500,292.980,0.851275
46.550,293.098,0.759711
46.600,294.113,0.670233
46.650,292.455,0.766728
46.700,290.961,0.600564
