time,frequency,confidence
44.850,659.009,0.839526
44.900,659.481,0.650607
44.950,744.730,0.716794
45.000,754.608,0.296310
45.050,773.302,0.872079
45.100,770.752,0.890016
45.150,789.629,0.416351
45.200,741.482,0.869287
45.250,659.588,0.879431
45.300,661.168,0.963784
45.350,662.182,0.869770
45.400,656.638,0.829343
45.450,602.729,0.129383
45.500,588.546,0.968198
45.550,589.997,0.855069
45.600,586.452,0.540972
45.650,638.046,0.332401
45.700,661.335,0.968369
45.750,660.480,0.898113
45.800,744.857,0.839518
45.850,737.601,0.609483
45.900,661.352,0.963560
45.950,660.746,0.959865
46.000,589.831,0.805261
46.050,593.736,0.731139
46.100,660.796,0.878164
46.150,658.583,0.933085
46.200,663.486,0.561940
46.250,745.284,0.866168
46.300,782.899,0.727975
46.350,788.922,0.919950
46.400,791.273,0.530292
46.450,884.619,0.922887
46.500,886.963,0.599427
46.550,1002.880,0.910383
46.600,998.400,0.794730
46.650,1062.110,0.906962
46.700,1050.501,0.938777
46.750,1006.231,0.890472
46.800,1003.016,0.890754
46.850,1024.670,0.781616
46.900,1048.514,0.925460
46.950,1044.026,0.885065
47.000,1035.075,0.529304
47.050,1049.022,0.747487
47.100,1043.709,0.686985
47.150,1016.742,0.978058
47.200,992.150,0.944668
47.250,978.510,0.868492
47.300,960.219,0.628702
47.350,944.982,0.421808
47.400,935.611,0.782271
47.450,883.233,0.856892
47.500,887.147,0.263105
47.550,882.949,0.924423
47.600,886.074,0.969912
47.650,903.379,0.719175
47.700,932.965,0.342723
47.750,884.337,0.673146
47.800,882.448,0.622734
47.850,879.899,0.669492
47.900,788.954,0.837943
47.950,786.630,0.289202
48.000,796.844,0.972835
48.050,874.825,0.981927
48.100,883.917,0.941227
48.150,963.172,0.976923
48.200,1027.037,0.326969
48.250,1041.193,0.804792
48.300,952.261,0.579012
48.350,938.193,0.948426
48.400,894.820,0.533925
48.450,881.831,0.852787
48.500,818.356,0.655632
48.550,744.394,0.328505
48.600,744.071,0.850389
48.650,660.596,0.503886
48.700,662.677,0.953585
48.750,591.490,0.940423
48.800,591.719,0.942963
48.850,587.974,0.678579
48.900,579.452,0.860113
48.950,583.036,0.245466
49.000,618.623,0.748612
49.050,668.034,0.807106
49.100,666.474,0.598780
49.150,591.996,0.864404
49.200,593.670,0.893173
49.250,589.356,0.912213
49.300,588.332,0.933421
49.350,591.958,0.936041
49.400,590.799,0.485111
49.450,588.788,0.826460
49.500,591.468,0.313963
49.550,603.330,0.438203
49.600,659.173,0.896842
49.650,660.514,0.791279
49.700,653.847,0.306535
49.750,586.668,0.966357
49.800,589.890,0.929180
49.850,532.481,0.789163
49.900,529.684,0.791011
49.950,477.738,0.613180
50.000,476.882,0.553809
50.050,441.193,0.939805
50.100,441.043,0.956040
50.150,440.943,0.630637
50.200,444.555,0.806021
50.250,455.418,0.308667
50.300,446.441,0.391020
50.350,443.283,0.864033
50.400,441.327,0.958482
50.450,475.506,0.814359
50.500,517.401,0.953198
50.550,582.616,0.848965
50.600,623.393,0.559619
50.650,597.657,0.394688
50.700,592.917,0.579650
50.750,590.020,0.884979
50.800,524.880,0.906306
50.850,524.030,0.923862
50.900,466.396,0.647161
50.950,453.076,0.536872
51.000,439.117,0.848398
51.050,441.276,0.951799
51.100,440.320,0.911915
51.150,444.849,0.657189
51.200,453.581,0.573835
51.250,474.242,0.852777
51.300,491.634,0.896020
51.350,496.168,0.972881
51.400,517.374,0.400724
51.450,524.728,0.939518
51.500,521.971,0.902827
51.550,517.236,0.254444
51.600,522.142,0.410569
51.650,535.051,0.540490
51.700,585.386,0.602599
51.750,612.048,0.920093
51.800,677.349,0.407278
51.850,748.085,0.679786
51.900,741.349,0.831094
51.950,675.014,0.885878
52.000,586.189,0.695731
52.050,588.939,0.982206
52.100,592.805,0.722931
52.150,660.689,0.944584
52.200,659.238,0.719296
52.250,734.276,0.689354
52.300,725.968,0.785870
52.350,780.353,0.930221
52.400,782.729,0.912458
52.450,782.844,0.770833
52.500,879.955,0.942260
52.550,884.062,0.875555
52.600,930.772,0.933597
52.650,933.340,0.746392
52.700,1044.853,0.914996
52.750,1047.914,0.673188
52.800,998.730,0.769396
52.850,915.012,0.703446
52.900,882.208,0.320137
52.950,831.611,0.608443
53.000,794.059,0.638748
53.050,778.339,0.798032
53.100,784.367,0.945370
53.150,783.275,0.952064
53.200,782.069,0.930062
53.250,889.125,0.924678
53.300,938.759,0.927716
53.350,888.108,0.940837
53.400,884.802,0.960953
53.450,893.129,0.566817
53.500,788.451,0.892241
